age,gender,height_cm,weight_kg,body fat_%,diastolic,systolic,gripForce,sit and bend forward_cm,sit-ups counts,broad jump_cm
27,M,172.3,75.24,21.3,80,130,54.9,18.4,60,217
25,M,165.0,55.8,15.7,77,126,36.4,16.3,53,229
31,M,179.6,78.0,20.1,92,152,44.8,12.0,49,181
36,F,165.4,55.4,22.0,64,119,23.8,21.0,27,153
42,F,164.5,63.7,32.2,72,135,22.7,0.8,18,146
22,M,175.8,72.0,30.4,75,115,34.6,19.0,54,188
56,M,170.1,61.5,22.0,89,148,37.7,20.5,40,195
23,F,164.4,54.3,21.7,61,109,27.0,31.7,44,186
48,M,171.0,66.2,17.3,99,144,48.8,16.0,49,225
35,F,154.0,47.6,23.9,84,129,21.9,24.5,34,149
