age,gender,heightCm,weightKg,bodyFatPercent,diastolic,systolic,gripForce,sitAndBendForwardCm,sitUpsCounts,broadJumpCm,performanceClass,genderEncoded,bmi,sitUpsCounts_zGender,gripPerLeanMass,genderXgrip
27.0,M,172.3,75.24,21.3,80.0,130.0,54.9,18.4,60.0,217.0,C,1,25.344179276720777,1.2905033529890506,0.9271474863663722,54.9
25.0,M,165.0,55.8,15.7,77.0,126.0,36.4,16.3,53.0,229.0,A,1,20.495867768595044,0.6896803106405839,0.773819393954855,36.4
31.0,M,179.6,78.0,20.1,92.0,152.0,44.8,12.0,49.0,181.0,C,1,24.181427671489725,0.3463528578700315,0.7188472770450243,44.8
32.0,M,174.5,71.1,18.4,76.0,147.0,41.4,15.2,53.0,219.0,B,1,23.349561990459843,0.6896803106405839,0.7135765698684536,41.4
28.0,M,173.8,67.7,17.1,70.0,127.0,43.5,27.1,45.0,217.0,B,1,22.41243920170665,0.003025405099479116,0.7750791560724334,43.5
36.0,F,165.4,55.4,22.0,64.0,119.0,23.8,21.0,27.0,153.0,B,0,20.25064005181824,-0.32047029341790967,0.5507729334444136,0.0
42.0,F,164.5,63.7,32.2,72.0,135.0,22.7,0.8,18.0,146.0,D,0,23.54006337709371,-0.9872796716502801,0.5256016634019162,0.0
33.0,M,174.9,77.2,36.9,84.0,137.0,45.9,12.3,42.0,234.0,B,1,25.236997307290842,-0.25447018447843517,0.9422497392903771,45.9
54.0,M,166.8,67.5,27.6,85.0,165.0,40.4,18.6,34.0,148.0,C,1,24.26116660628331,-0.9411250900195399,0.826683036627788,40.4
28.0,M,185.0,84.6,14.4,81.0,156.0,57.9,12.1,55.0,213.0,B,1,24.71877282688093,0.86134403702586,0.7995293961688872,57.9
42.0,M,169.2,65.4,19.3,63.0,110.0,43.5,16.0,68.0,211.0,A,1,22.844256660463092,1.9771582585301553,0.8242101792799246,43.5
27.0,F,156.0,53.9,35.5,69.0,116.0,23.1,13.1,28.0,144.0,C,0,22.148257725180798,-0.24638036250320186,0.6644518272425249,0.0
22.0,M,175.7,67.9,11.3,71.0,103.0,52.5,19.2,55.0,232.0,C,1,21.995115723786704,0.86134403702586,0.8716977184765048,52.5
24.0,M,181.0,84.4,20.4,80.0,120.0,48.9,7.2,54.0,213.0,C,1,25.762339366930192,0.775512173833222,0.7278692038391007,48.9
